Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V316,2778533.41877,1162751.75091,3.106577,0.745937,180.58273
V317,2670451.72180,1170536.80009,3.658812,0.844069,212.684904
V318,2742971.70988,1170154.62113,3.658065,0.502407,212.679359
V319,2678602.32399,1241208.27110,1.822076,0.229477,105.817062
V320,2626554.01799,1111409.89419,3.124354,0.593652,181.634165
V321,2714084.48068,1220695.38645,3.490157,0.416193,202.919139
V322,2704986.15301,1190659.46368,3.577266,0.604611,207.952731
V323,2641815.63955,1199399.22729,1.523671,0.038856,87.868373
V324,2723454.02272,1247049.41664,4.279302,0.105741,248.796285
V325,2554768.94143,1173527.09707,0.148866,0.526913,8.769761
V326,2718945.27756,1081405.69096,5.360004,0.177503,311.417576
V327,2699233.22028,1291839.39391,0.561797,0.650395,32.736325
V328,2594935.22713,1118270.51340,0.615905,0.752614,35.858304
V329,2591719.27653,1141832.04483,1.355646,0.412632,78.824609
V330,2671222.21288,1190568.79271,3.180647,0.298341,184.840962
V331,2617357.01260,1244041.62212,0.719626,0.430978,41.916917
V332,2627609.85030,1124503.01572,2.598882,0.703419,151.075468
V333,2657141.39051,1222453.78884,0.987988,0.124978,57.740216
V334,2637806.92380,1223368.39138,0.284926,0.455211,16.704543
V335,2567470.21195,1163531.16938,0.384055,0.32137,22.502469
V336,2516628.91933,1159381.69273,0.366152,0.613386,21.430598
V337,2753213.79177,1233394.23122,4.356972,0.145082,253.236019
V338,2674179.21292,1178901.28799,3.464305,0.714036,201.38722
V339,2610023.87507,1191529.47295,0.42432,0.281476,24.808767
V340,2801326.32636,1143454.73631,3.654426,0.461127,212.487509
V341,2692294.64243,1230302.94444,3.496219,0.297128,203.099366
V342,2645144.18250,1186055.15499,3.41022,0.321426,198.343031
V343,2565550.17301,1121558.85180,0.200679,0.616898,11.857851
V344,2711660.97975,1084695.34658,5.241237,0.225738,304.604894
V345,2659319.65036,1190923.54183,3.662914,0.117303,212.964693
V346,2692623.40092,1276266.27670,0.60931,0.50305,35.482214
V347,2721378.89643,1077093.95459,5.520562,0.162367,320.734138
V348,2743204.82641,1250664.14514,3.242014,0.216463,188.378014
V349,2523078.51114,1162942.26621,0.228035,0.728947,13.397619
V350,2540982.92990,1160538.61974,0.232943,0.480478,13.620691
