Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V31,2676473.96902,1186511.73364,2.990982,0.824464,173.85061
V32,2722669.53593,1251687.37744,0.500657,0.140615,29.165626
V33,2773100.04603,1184540.20992,2.731854,0.730048,158.807514
V34,2777577.68434,1149887.54523,2.981698,0.881491,173.296126
V35,2591293.04588,1185693.04531,1.004324,0.211789,58.245384
V36,2800088.00545,1162870.70037,3.099819,0.880817,180.156082
V37,2544248.44957,1178469.33112,0.421813,0.468165,24.607016
V38,2584450.94940,1209989.98315,0.400859,0.484498,23.390227
V39,2689827.92090,1240739.57751,0.558345,0.148586,32.46814
V40,2647437.65550,1179854.18744,2.309792,0.22791,134.082794
V41,2639726.59615,1110301.39207,3.365362,0.789011,195.618004
V42,2699480.79666,1181694.88342,2.810265,0.657725,163.318551
V43,2671123.21339,1212925.56281,2.640919,0.126565,153.204372
V44,2717577.05625,1193676.40768,2.885901,0.523611,167.715942
V45,2716440.63138,1171195.72192,2.695223,0.62438,156.644384
V46,2671352.26514,1204326.25797,2.228619,0.110999,129.195954
V47,2586208.33083,1218872.07224,0.305552,0.490241,17.849082
V48,2586025.61896,1222445.03654,0.310674,0.523015,18.141027
V49,2721320.42356,1090561.21621,3.39555,0.025498,197.599212
V50,2578147.16139,1250789.23465,0.602195,0.465993,35.055059
V51,2769810.73227,1189485.67086,2.567193,0.573358,149.210721
V52,2615280.57273,1146335.57065,2.773954,0.838195,161.230944
V53,2513537.35769,1145596.39292,0.240131,0.676331,14.056594
V54,2597644.46947,1209791.18081,0.447762,0.386844,26.098652
V55,2568867.81257,1102651.52718,2.009385,0.590426,116.776299
V56,2566985.86651,1145396.63255,2.227179,0.528496,129.402824
V57,2606395.17485,1146871.61799,2.452135,0.753444,142.526115
V58,2576159.30989,1257619.32664,0.796008,0.447002,46.299228
V59,2674628.74792,1152682.27702,3.040642,0.838846,176.739669
V60,2744993.72185,1178997.77181,2.522646,0.424998,146.588354
V61,2597090.44884,1098408.52311,3.488912,0.919467,202.790841
V62,2705310.81268,1125035.61123,3.750219,0.288507,218.060529
V63,2759145.50855,1224601.02484,3.75048,0.071015,218.107862
