Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V59,2674628.74792,1152682.27702,2.838065,0.941661,164.974984
V60,2744993.72185,1178997.77181,2.074575,0.865484,120.603281
V61,2597090.44884,1098408.52311,3.386388,0.965425,196.848648
V62,2705310.81268,1125035.61123,2.079411,0.695455,120.898329
V63,2759145.50855,1224601.02484,1.724103,0.813808,100.231491
V64,2605509.95760,1229309.05579,1.135196,0.885326,65.988261
V65,2770360.15934,1179533.89478,2.72437,0.943188,158.368861
V66,2701677.21626,1224489.17243,1.667117,0.846504,96.913499
V67,2676165.51529,1212626.17775,1.6405,0.807494,95.371031
V68,2696891.89623,1128201.20624,1.983682,0.69054,115.335322
V69,2756993.67403,1172759.51207,1.971627,0.786794,114.623022
V70,2672610.77093,1160297.97524,3.257207,0.964773,189.339253
V71,2734248.67634,1275380.21364,1.084743,0.82818,63.058026
V72,2735506.99726,1134326.16371,2.181843,0.788496,126.845177
V73,2707641.63643,1175028.72588,2.383469,0.918209,138.553051
V74,2700404.04572,1278118.36794,1.302358,0.860819,75.705899
V75,2760205.24229,1162958.58934,2.674992,0.939428,155.498341
V76,2709683.80448,1220298.24490,1.83289,0.857077,106.550009
V77,2706193.12894,1204915.13726,2.335936,0.914296,135.791212
V78,2573309.35009,1088962.84774,2.913094,0.954592,169.336671
V79,2690394.64517,1263258.31528,1.128841,0.863004,65.620791
V80,2658472.49510,1162622.86507,3.379026,0.969452,196.420628
V81,2765272.16810,1135549.85039,2.120233,0.785277,123.261598
V82,2638843.82087,1176587.05510,1.586286,0.833515,92.218808
V83,2594170.19185,1196503.47785,1.219931,0.851967,70.919293
V84,2701795.44033,1112355.35418,1.673141,0.48528,97.304012
V85,2784426.55416,1177482.15575,2.739884,0.944643,159.270476
V86,2727568.01129,1117512.44864,2.024744,0.761412,117.713254
V87,2697521.52255,1216353.43904,1.886281,0.858869,109.654277
V88,2631718.59209,1110589.19595,3.271427,0.964128,190.166183
V89,2559847.89302,1125477.03097,1.24083,0.871971,72.133652
V90,2648024.99517,1134464.17440,1.810557,0.815121,105.256239
V91,2629163.14113,1237328.67958,1.166449,0.891815,67.805614
V92,2658561.07826,1269827.05884,0.964403,0.885651,56.062699
V93,2634686.66464,1253075.59799,1.123468,0.859547,65.311538
V94,2576383.58521,1218228.35171,1.084429,0.88434,63.042124
V95,2623059.11861,1243026.52818,1.136607,0.885621,66.073377
V96,2659765.01811,1182858.30582,2.236522,0.930256,130.0128
V97,2633757.87696,1166204.43248,1.716094,0.884752,99.762679
V98,2618690.43097,1210687.01728,1.371216,0.878471,79.710894
V99,2819816.18162,1188268.69123,2.516621,0.934198,146.293843
V100,2722920.89335,1230841.26716,1.772985,0.850082,103.067534
V101,2718576.53400,1247060.53857,1.40545,0.844008,81.701653
V102,2666424.27517,1248075.48144,1.186336,0.87117,68.962416
V103,2709135.19508,1198698.28534,2.652872,0.937361,154.212581
V104,2564127.92114,1236126.78709,1.031243,0.879748,59.949589
V105,2699956.89142,1130146.79737,2.267781,0.823984,131.837632
V106,2714913.17703,1088942.20663,1.282139,0.652557,74.544393
V107,2719452.20938,1139777.04433,1.347998,0.478497,78.373481
V108,2750551.32017,1249149.61296,1.705115,0.834089,99.121246
V109,2559495.90562,1210484.12541,1.014759,0.899182,58.990623
V110,2596605.50913,1195707.10380,1.195659,0.846285,69.508039
V111,2582268.68915,1235524.42274,1.179617,0.895203,68.574015
V112,2743341.92086,1227352.34528,2.184342,0.909821,126.979113
V113,2672411.83561,1246534.32139,1.213736,0.866163,70.556352
V114,2699615.15961,1287245.47015,1.165733,0.879006,67.764656
V115,2723995.66120,1173836.66481,2.463307,0.932724,143.192824
V116,2734912.96672,1197634.17491,2.63819,0.939515,153.359205
V117,2598297.53667,1122594.62323,0.782235,0.859862,45.471509
V118,2761530.71792,1207952.25582,1.423189,0.830422,82.736072
V119,2586563.00882,1134420.80545,2.44836,0.938991,142.324069
V120,2641384.83822,1257395.36363,1.049318,0.863683,61.00047
V121,2769593.22063,1205059.28296,1.485847,0.867182,86.378713
V122,2761846.66356,1176877.96422,2.373993,0.907189,138.004552
V123,2511438.10589,1155301.99530,1.275836,0.876853,74.169136
V124,2700946.64468,1233775.58894,1.493378,0.800757,86.816995
V125,2586708.76724,1205794.09755,1.147282,0.871812,66.693426
V126,2710984.15602,1231026.62157,1.513011,0.783781,87.958286
V127,2516933.73161,1150087.58567,0.670963,0.895727,39.003152
V128,2640369.28488,1121407.35516,2.624869,0.939649,152.58186
V129,2758395.52467,1211432.89220,1.588316,0.827587,92.336487
V130,2554634.24762,1200329.56733,0.932903,0.898025,54.231124
V131,2607252.67280,1212759.39311,1.226679,0.885822,71.307518
V132,2710716.87816,1266935.11215,1.205741,0.859794,70.092168
V133,2700798.18113,1187530.74317,2.568255,0.937901,149.293195
V134,2585610.88706,1227304.07614,1.184805,0.902833,68.875612
V135,2830513.82095,1166854.69890,2.55491,0.928202,148.520683
V136,2693698.66166,1245001.82192,1.058829,0.860857,61.549729
V137,2715084.44548,1226081.20756,1.678968,0.80642,97.604629
V138,2631505.95553,1251881.06616,1.131299,0.861093,65.766395
V139,2741074.52066,1272219.83283,1.156514,0.804787,67.225109
V140,2686557.18952,1252974.92535,1.271053,0.856659,73.890891
V141,2703080.44519,1251954.54200,1.264638,0.855146,73.517603
V142,2644217.18180,1130427.66772,0.949324,0.753315,55.205514
V143,2593599.37516,1234547.51910,1.264076,0.898751,73.48219
V144,2501722.35998,1144760.71108,1.14513,0.872524,66.570028
V145,2554301.40269,1131813.59552,1.695979,0.89635,98.592199
V146,2656740.95995,1209705.49009,1.480413,0.825717,86.062778
V147,2732843.78089,1118016.59516,2.148461,0.802679,124.903666
V148,2615018.17632,1118319.84887,2.640396,0.941413,153.485421
V149,2588232.59800,1168698.94287,1.962869,0.912178,114.104877
V150,2707367.86076,1093929.90209,1.384286,0.481027,80.502951
V151,2650810.30869,1174666.42582,2.178361,0.916792,126.632687
V152,2663524.97849,1210149.54807,1.505216,0.814993,87.504679
V153,2700927.84669,1134113.01196,2.375824,0.86914,138.114113
V154,2562991.50687,1228611.29759,1.202698,0.882024,69.916693
V155,2764140.88291,1152342.42896,2.882829,0.946017,167.578276
V156,2738820.10081,1262550.76078,1.334076,0.793011,77.552556
V157,2823774.88732,1173217.79678,2.840615,0.941779,165.125699
V158,2727163.70292,1249374.51072,1.388627,0.824099,80.7248
V159,2649799.63873,1249766.49284,1.096719,0.878332,63.753076
V160,2789289.25371,1153885.89834,2.620951,0.933428,152.358063
V161,2691377.86733,1248414.44903,1.273434,0.846822,74.029112
V162,2680133.63650,1275154.66914,1.106021,0.874663,64.29171
V163,2688278.95530,1156621.16257,2.551588,0.92734,148.322969
V164,2577575.33389,1239674.96552,1.071269,0.879066,62.275717
V165,2745818.88011,1203037.96532,2.608446,0.939307,151.630398
V166,2569065.53657,1122256.35597,1.058151,0.87986,61.512364
V167,2563328.69941,1219710.39327,1.27156,0.886408,73.920064
V168,2706253.61503,1185484.73267,3.345319,0.969039,194.461344
V169,2675913.64371,1220220.81968,1.590461,0.760019,92.465526
V170,2634749.05355,1184613.33614,1.676993,0.872853,97.488324
V171,2618045.89360,1154602.60957,2.052148,0.90962,119.296338
V172,2578118.02870,1157934.81316,2.03839,0.914195,118.494342
V173,2625899.39824,1249850.67435,1.104923,0.866627,64.232539
V174,2606073.18382,1123438.51404,1.01825,0.867409,59.193102
V175,2555097.34397,1131490.63307,1.728882,0.897008,100.505036
V176,2596912.48371,1152087.62946,1.864169,0.909418,108.36843
V177,2629104.97591,1202257.86325,1.540109,0.878619,89.528418
V178,2547290.68883,1211567.83030,1.192457,0.89004,69.320665
V179,2789250.30441,1159839.12489,2.200559,0.85717,127.927784
V180,2750013.78261,1184134.74571,1.358322,0.787598,78.96437
V181,2541690.59025,1170986.24895,0.927032,0.891739,53.89072
V182,2609551.25794,1199441.34451,1.283459,0.854352,74.61053
V183,2504843.81999,1122094.50352,0.715483,0.883114,41.590638
V184,2665389.88298,1149003.30146,2.492669,0.935785,144.898793
V185,2746328.54189,1263217.86088,1.378425,0.755526,80.130376
V186,2693692.26968,1224731.44119,1.640574,0.833145,95.371834
V187,2661078.03242,1226865.45909,1.29568,0.835191,75.320722
V188,2757151.68683,1248073.82924,1.593124,0.793322,92.613294
V189,2562904.45295,1101012.91245,1.976814,0.922162,114.918847
V190,2727679.88285,1178611.57002,1.776488,0.841344,103.275717
V191,2719263.70907,1165331.79848,2.728241,0.943521,158.591968
V192,2607675.89908,1132837.81929,2.640469,0.944306,153.489382
V193,2597525.21945,1191900.76625,1.257628,0.843252,73.111617
V194,2797326.13164,1149086.22021,2.993868,0.940697,174.032945
V195,2778674.96315,1145189.63614,2.567757,0.936388,149.265243
V196,2655706.96303,1130955.10231,2.675431,0.93837,155.520961
V197,2529632.84232,1179808.23887,0.867183,0.911694,50.409143
V198,2695730.50626,1266281.17858,1.112542,0.862117,64.672395
V199,2763491.29246,1189485.67116,1.812628,0.844347,105.373599
V200,2787855.45630,1163250.76770,2.782565,0.945992,161.751573
V201,2822876.44639,1167295.04021,2.605702,0.935557,151.472407
V202,2757433.24560,1151985.48785,2.664606,0.935202,154.894653
V203,2766094.27112,1162961.19355,2.102021,0.794385,122.198344
V204,2660945.09047,1231377.13131,1.253301,0.846047,72.856441
V205,2714961.97877,1091443.87102,1.320077,0.536484,76.764413
V206,2624962.55443,1162768.34031,2.223315,0.921039,129.24544
V207,2807354.83929,1174356.29467,2.564577,0.937799,149.082001
V208,2625922.66139,1139532.39662,2.811654,0.949936,163.440589
V209,2718982.29286,1232701.04865,1.580085,0.802504,91.854749
V210,2694602.45837,1117472.40621,1.689451,0.429241,98.249511
V211,2725408.22276,1163330.53749,2.652967,0.938071,154.21689
V212,2615024.93118,1188675.94317,1.401916,0.839575,81.49714
V213,2629642.50238,1188786.73736,1.542896,0.858484,89.692766
V214,2613328.71925,1157248.70949,1.745675,0.885684,101.481004
